dataset_label,variant_label,dataset_root,scan_index,scan_file,hr_path,height,width,num_pixels,scan_mean_dS_rad,scan_std_dS_rad,scan_max_dS_rad
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,53,IN718_test_hr_x_block_541.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_541.npy,128,128,16384,0.007542488165199757,0.002454042434692383,0.013028992339968681
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,54,IN718_test_hr_x_block_542.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_542.npy,128,128,16384,0.007161794696003199,0.002456340007483959,0.01278888899832964
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,55,IN718_test_hr_x_block_544.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_544.npy,128,128,16384,0.007660605479031801,0.0029609252233058214,0.017221922054886818
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,56,IN718_test_hr_x_block_71.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_71.npy,128,128,16384,0.007686658762395382,0.002111007459461689,0.01372411847114563
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,57,IN718_test_hr_x_block_72.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_72.npy,128,128,16384,0.008624965324997902,0.0023431868758052588,0.012844696640968323
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,58,IN718_test_hr_x_block_75.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_75.npy,128,128,16384,0.007636872585862875,0.0020977454259991646,0.013318561017513275
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,59,IN718_test_hr_x_block_85.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_85.npy,128,128,16384,0.00806234311312437,0.0027186977677047253,0.015128877945244312
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,60,IN718_test_hr_x_block_87.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_87.npy,128,128,16384,0.007517736870795488,0.0022458306048065424,0.01500227302312851
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,61,IN718_test_hr_x_block_94.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_94.npy,128,128,16384,0.007808043621480465,0.0027692164294421673,0.015128877945244312
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,62,IN718_test_hr_y_block_103.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_103.npy,128,128,16384,0.0070876674726605415,0.0022389786317944527,0.013654450885951519
